,RPL,ROE,ROA,AF,RA,GA,ML,decisao
0,-0.1052530695736364,-0.1052530695736364,-0.01622234697545189,6.488153023289928,-0.01622234697545189,0.1721124746311328,-0.09425433577792211,0
1,-0.10467291194190415,-0.10467291194190416,-0.018332157823029743,5.709797665521348,-0.018332157823029743,0.27544404923705473,-0.06655492421712325,0
2,-0.02752625692906589,-0.027526256929065886,-0.004677364234683709,5.8849932457584755,-0.004677364234683709,0.16435682804960214,-0.02845859396405546,1
3,-0.03287570174645631,-0.0328757017464563,-0.005308483922001737,6.193049132201091,-0.005308483922001737,0.26359603341175053,-0.020138709423254533,1
4,-0.01878679225939498,-0.01878679225939498,-0.0029872768885646807,6.288935696356427,-0.0029872768885646807,0.2775090601951447,-0.010764610303043886,1
5,-0.12387807257057204,-0.12387807257057204,-0.015035118561231214,8.239248135362077,-0.015035118561231214,0.2597006074224459,-0.05789404464801314,0
6,-0.14571951677644956,-0.14571951677644956,-0.014101817727567877,10.333385354398681,-0.014101817727567875,0.2937256757030965,-0.048010163543967,0
7,-0.8651820611306718,-0.8651820611306718,-0.02594716211467891,33.34399566730337,-0.02594716211467891,0.26736595933810986,-0.09704736601066795,1
8,-0.008438424383548119,-0.008438424383548119,-0.00027011989344404643,31.239551726300686,-0.00027011989344404643,0.20773848890664523,-0.0013002881404679638,1
9,0.22048829749271776,0.22048829749271776,0.0077289318646723264,28.527654448674003,0.0077289318646723264,0.20513705589201192,0.037676917176489966,0
10,-0.3029982246625771,-0.3029982246625771,-0.009318537054734398,32.5156430545753,-0.009318537054734398,0.1599654210645103,-0.05825344623058536,0
11,-0.12863834111065645,-0.12863834111065645,-0.005221204936371429,24.637673234112885,-0.005221204936371429,0.24125443885420736,-0.02164190205647018,0
12,-0.08595158712538865,-0.08595158712538867,-0.006463457092402872,13.29808272826873,-0.006463457092402872,0.23389620986901097,-0.027633868441145782,0
13,-0.1269170105879602,-0.1269170105879602,-0.00802895261020785,15.807418071766978,-0.008028952610207848,0.2096926050325957,-0.03828915477949157,1
14,-0.29853431405396874,-0.29853431405396874,-0.013359920153611092,22.345516337032677,-0.013359920153611092,0.2567535170361001,-0.05203402978792558,0
15,-0.0834857171113013,-0.08348571711130132,-0.0114755099326306,7.27512046100102,-0.0114755099326306,0.20352725940842187,-0.05638315951379508,1
16,-0.06726722131391799,-0.06726722131391799,-0.00803194013234608,8.37496547602748,-0.008031940132346078,0.20738139877621534,-0.03873028236738495,0
17,-0.02382699745968139,-0.023826997459681386,-0.003093289398492596,7.702802547764404,-0.003093289398492596,0.2422552501935064,-0.012768719753325334,1
18,-0.009000088548867304,-0.009000088548867302,-0.0010108534973373444,8.903454924550529,-0.0010108534973373444,0.2486949189858546,-0.0040646326891577555,0
19,-0.09296533148188461,-0.09296533148188461,-0.008641770180681388,10.757672275259981,-0.008641770180681388,0.1256516368657024,-0.0687756275703578,1
20,-0.8460722165578259,-0.8460722165578259,-0.01648616215689743,51.32014403994254,-0.01648616215689743,0.1568381038968493,-0.10511579614441272,0
21,-0.3920087926462524,-0.3920087926462523,-0.0024041360000782263,163.05599709562898,-0.0024041360000782263,0.3314219289202643,-0.007254004006043395,0
22,3.2905289390467,3.2905289390467005,0.08361116286092403,39.35513903233297,0.08361116286092403,0.3985845114711627,0.20977022552210547,1
23,0.006037072643421846,0.006037072643421847,0.00015492572273840437,38.9675293212321,0.00015492572273840435,0.36131476697583753,0.0004287832574215402,0
24,0.10293766302092816,0.10293766302092816,0.0030213779483920862,34.069773718878636,0.0030213779483920867,0.40933048744860684,0.007381267804469202,1
25,0.2883345757211792,0.2883345757211792,0.003194679057770752,90.2546298101003,0.003194679057770752,0.4056894223524588,0.0078746915294115,0
26,0.04349745030510875,0.04349745030510876,0.0008522103014557904,51.04074690343936,0.0008522103014557903,0.4503315219065875,0.0018924065049849316,1
27,0.13293968249036908,0.1329396824903691,-0.003925402916037682,-33.86650627563068,-0.003925402916037681,0.38705364188113994,-0.010141754246154674,1
28,4.340236350227174,4.340236350227174,0.043347647358269785,100.12622632907787,0.04334764735826978,0.5134623728258491,0.08442224718377173,1
29,0.03567201071398101,0.03567201071398101,0.028334731853620284,1.2589500016540038,0.028334731853620284,0.03140962023395424,0.9021036116504855,0
30,0.04736171496696344,0.047361714966963446,0.03777650967514983,1.2537345396448565,0.03777650967514983,0.032871759252729865,1.1492086378678577,1
31,0.05360537988962908,0.05360537988962908,0.04235731637016767,1.265551845191577,0.042357316370167666,0.03200648493460506,1.3233979444075537,1
32,0.049842847612555294,0.049842847612555294,0.039304168881354955,1.2681313212095333,0.03930416888135496,0.028525334836927114,1.3778688,0
33,0.049428907752790775,0.04942890775279077,0.03957117898858386,1.2491138504377348,0.03957117898858386,0.02662102178045049,1.4864635668358714,1
34,0.05781975304912573,0.05781975304912573,0.046730999654040546,1.2372890260678686,0.046730999654040546,0.028797571089337032,1.6227410120481927,1
35,0.05909346071942551,0.05909346071942551,0.04770136305744296,1.2388212187619034,0.04770136305744295,0.026567068794320862,1.7955071907533844,1
36,0.04826568874281957,0.04826568874281958,0.039249979050191494,1.2296997326062036,0.039249979050191494,0.02481086758613141,1.5819672131147542,0
37,0.044890299401564915,0.04489029940156491,0.036720717884130984,1.2224788072829167,0.036720717884130984,0.023024244332493702,1.594871794871795,0
38,0.07610186170879701,0.07610186170879703,0.06203529484590788,1.2267510277468607,0.062035294845907876,0.024355703181924142,2.5470541491878613,1
